,Date,wyt_sac,trinity_inflow,whiskeytown_inflow,shasta_inflow,oroville_inflow,folsom_inflow,month,year,trinity_inflow_1m,trinity_inflow_2m,trinity_inflow_3m,trinity_inflow_4m,whiskeytown_inflow_1m,whiskeytown_inflow_2m,whiskeytown_inflow_3m,whiskeytown_inflow_4m,shasta_inflow_1m,shasta_inflow_2m,shasta_inflow_3m,shasta_inflow_4m,oroville_inflow_1m,oroville_inflow_2m,oroville_inflow_3m,oroville_inflow_4m,folsom_inflow_1m,folsom_inflow_2m,folsom_inflow_3m,folsom_inflow_4m
219,1940-01-31,D,193.3,60.1,1004.5,664.3,460.5,January,1940,85.3,7.3,7.0,4.2,18.5,0.6,0.4,0.1,342.8,188.1,191.6,178.2,126.4,73.5,73.3,71.8,28.3,18.1,32.3,14.4
220,1940-02-29,BN,321.5,123.9,1675.6,1202.7,605.1,February,1940,193.3,85.3,7.3,7.0,60.1,18.5,0.6,0.4,1004.5,342.8,188.1,191.6,664.3,126.4,73.5,73.3,460.5,28.3,18.1,32.3
221,1940-03-31,AN,315.6,86.2,1376.6,1504.7,844.2,March,1940,321.5,193.3,85.3,7.3,123.9,60.1,18.5,0.6,1675.6,1004.5,342.8,188.1,1202.7,664.3,126.4,73.5,605.1,460.5,28.3,18.1
222,1940-04-30,W,266.3,36.2,937.2,969.9,630.0,April,1940,315.6,321.5,193.3,85.3,86.2,123.9,60.1,18.5,1376.6,1675.6,1004.5,342.8,1504.7,1202.7,664.3,126.4,844.2,605.1,460.5,28.3
223,1940-05-31,W,226.4,17.3,417.7,477.1,547.4,May,1940,266.3,315.6,321.5,193.3,36.2,86.2,123.9,60.1,937.2,1376.6,1675.6,1004.5,969.9,1504.7,1202.7,664.3,630.0,844.2,605.1,460.5
224,1940-06-30,W,84.2,9.9,270.1,216.0,203.7,June,1940,226.4,266.3,315.6,321.5,17.3,36.2,86.2,123.9,417.7,937.2,1376.6,1675.6,477.1,969.9,1504.7,1202.7,547.4,630.0,844.2,605.1
225,1940-07-31,W,20.2,7.4,223.4,123.9,47.9,July,1940,84.2,226.4,266.3,315.6,9.9,17.3,36.2,86.2,270.1,417.7,937.2,1376.6,216.0,477.1,969.9,1504.7,203.7,547.4,630.0,844.2
226,1940-08-31,W,8.8,1.6,203.9,101.5,18.9,August,1940,20.2,84.2,226.4,266.3,7.4,9.9,17.3,36.2,223.4,270.1,417.7,937.2,123.9,216.0,477.1,969.9,47.9,203.7,547.4,630.0
227,1940-09-30,W,9.2,2.3,199.0,96.1,19.9,September,1940,8.8,20.2,84.2,226.4,1.6,7.4,9.9,17.3,203.9,223.4,270.1,417.7,101.5,123.9,216.0,477.1,18.9,47.9,203.7,547.4
228,1940-10-31,W,14.6,2.4,217.5,106.2,17.3,October,1940,9.2,8.8,20.2,84.2,2.3,1.6,7.4,9.9,199.0,203.9,223.4,270.1,96.1,101.5,123.9,216.0,19.9,18.9,47.9,203.7
