salinity_std_emt_new               !RW 8/29/00 -- AG EC (mmhos/cm) standard at Emmaton (WQCP 5/95)                                         
month     wyt_SAC   ECstandard    
7         1         0.45           
8         1         0.45           
9         1         0.45           
10        1         0.45           
11        1         0.60
7         2         0.45           
8         2         0.45
9         2         0.45           
10        2         0.63           
11        2         1.40
7         3         0.45           
8         3         0.45           
9         3         0.68
10        3         0.8
11        3         0.9
7         4         0.45
8         4         0.45
9         4         0.5
10        4         0.6
11        4         0.8
7         5         1.45
8         5         1.20
9         5         1.20
10        5         1.45
11        5         2.00


