! arbitrary 4000 cfs values for Feb (5) through Jun (9) are base values that
! may be averaged with partial month X2 requirements
NDO_flow_std
month           wyt_SAC         flow
1               1               1500
2               1               1500
3               1               1500
4               1               1000
5               1               1000
6               1               100
7               1               100
8               1               100
9               1               100
10              1               100
11              1               100
12              1               1000
1               2               1300
2               2               1500
3               2               1500
4               2               1500
5               2               1000
6               2               100
7               2               100
8               2               100
9               2               100
10              2               100
11              2               100
12              2               1000
1               3               1300
2               3               1500
3               3               1500
4               3               1500
5               3               1000
6               3               100
7               3               100
8               3               100
9               3               100
10              3               100
11              3               100
12              3               1000
1               4               1300
2               4               1500
3               4               1500
4               4               1300
5               4               1000
6               4               100
7               4               100
8               4               100
9               4               100
10              4               100
11              4               100
12              4               1000
1               5               1000
2               5               1200
3               5               1200
4               5               1200
5               5               1500
6               5               100
7               5               100
8               5               100
9               5               100
10              5               100
11              5               100
12              5               1500
