salinity_std_rsl                   !RW/RL 3/5/07 -- MI CL (mg/l) standard at Rock Slough(WQCP 5/95)
month     wyt      CLstandard1
1         1         825.0
2         1         825.0
3         1         825.0
4         1         830.0
5         1         830.0
6         1         830.0
7         1         830.0
8         1         830.0
9         1         830.0
10        1         830.0
11        1         830.0
12        1         825.0
1         2         825.0
2         2         825.0
3         2         825.0
4         2         825.0
5         2         830.0
6         2         830.0
7         2         830.0
8         2         830.0
9         2         830.0
10        2         830.0
11        2         851.0
12        2         825.0
1         3         825.0
2         3         825.0
3         3         825.0
4         3         825.0
5         3         830.0
6         3         830.0
7         3         830.0
8         3         830.0
9         3         830.0
10        3         830.0
11        3         825.0
12        3         825.0
1         4         825.0
2         4         825.0
3         4         825.0
4         4         872.0
5         4         838.0
6         4         830.0
7         4         830.0
8         4         830.0
9         4         830.0
10        4         830.0
11        4         825.0
12        4         825.0
1         5         825.0
2         5         825.0
3         5         825.0
4         5         872.0
5         5         830.0
6         5         830.0
7         5         830.0
8         5         830.0
9         5         830.0
10        5         872.0
11        5         825.0
12        5         825.0
