! arbitrary 4000 cfs values for Feb (5) through Jun (9) are base values that
! may be averaged with partial month X2 requirements
NDO_flow_std
month           wyt_SAC         flow
1               1               4000
2               1               4500
3               1               4500
4               1               6000
5               1               3000
6               1               10
7               1               10
8               1               10
9               1               10
10              1               10
11              1               10
12              1               3000
1               2               4000
2               2               4500
3               2               4500
4               2               6000
5               2               3000
6               2               10
7               2               10
8               2               10
9               2               10
10              2               10
11              2               10
12              2               3000
1               3               4000
2               3               4500
3               3               4500
4               3               5000
5               3               3000
6               3               10
7               3               10
8               3               10
9               3               10
10              3               10
11              3               10
12              3               3000
1               4               4000
2               4               4500
3               4               4500
4               4               4000
5               4               2500
6               4               10
7               4               10
8               4               10
9               4               10
10              4               10
11              4               10
12              4               3000
1               5               3000
2               5               3500
3               5               3500
4               5               3500
5               5               2500
6               5               10
7               5               10
8               5               10
9               5               10
10              5               10
11              5               10
12              5               2500
