salinity_std_emt_new               !RW 8/29/00 -- AG EC (mmhos/cm) standard at Emmaton (WQCP 5/95)                                         
month     wyt_SAC   ECstandard    
7         1         10.45           
8         1         10.45           
9         1         10.45           
10        1         10.45           
11        1         11.650           
7         2         10.45           
8         2         10.45              
9         2         10.45           
10        2         10.63           
11        2         11.740           
7         3         10.45           
8         3         10.45           
9         3         10.680           
10        3         11.14           
11        3         11.990           
7         4         10.45                   
8         4         10.45           
9         4         11.060           
10        4         11.67           
11        4         12.240           
7         5         12.78           
8         5         12.78           
9         5         12.78           
10        5         12.78           
11        5         12.780           
