salinity_std_rsl                   !RW/RL 3/5/07 -- MI CL (mg/l) standard at Rock Slough(WQCP 5/95)
month     wyt      CLstandard1
1         1         80.0
2         1         80.0
3         1         80.0
4         1         80.0
5         1         80.0
6         1         80.0
7         1         80.0
8         1         80.0
9         1         80.0
10        1         80.0
11        1         80.0
12        1         80.0
1         2         80.0
2         2         80.0
3         2         80.0
4         2         80.0
5         2         80.0
6         2         80.0
7         2         80.0
8         2         80.0
9         2         80.0
10        2         80.0
11        2         120.0
12        2         120.0
1         3         120.0
2         3         120.0
3         3         120.0
4         3         120.0
5         3         90.0
6         3         90.0
7         3         90.0
8         3         90.0
9         3         90.0
10        3         90.0
11        3         120.0
12        3         120.0
1         4         120.0
2         4         120.0
3         4         120.0
4         4         120.0
5         4         110.0
6         4         90.0
7         4         90.0
8         4         90.0
9         4         90.0
10        4         90.0
11        4         120.0
12        4         120.0
1         5         140.0
2         5         140.0
3         5         140.0
4         5         120.0
5         5         100.0
6         5         90.0
7         5         90.0
8         5         90.0
9         5         90.0
10        5         90.0
11        5         140.0
12        5         140.0
